Lotus Herbalss Lip Lush Tinted Lip Balm,666,Skin Care,Lip Care,Lip Balm,LOTS122_4GM_RS,Lotus Herbals,Lip lush is a range of stylish and colourful lip shades. It gives you all season moisturizing. Its SPF 20 prevents darkness caused due to sun exposure. Remove roughness to give smooth and cushioned lips all day.,4,GM,,,Rosy Rose Blush,,33049990,18%,LOTS122_4GM_RS_1.png,,22,10,10,200,185,
Lotus Herbalss Lip Lush Tinted Lip Balm,666,Skin Care,Lip Care,Lip Balm,LOTS122_4GM_WS,Lotus Herbals,Lip lush is a range of stylish and colourful lip shades. It gives you all season moisturizing. Its SPF 20 prevents darkness caused due to sun exposure. Remove roughness to give smooth and cushioned lips all day.,4,GM,,,Watermelon Splash,,33049990,18%,LOTS122_4GM_WS_1.png,,22,10,10,200,175,
Ikkai by Lotus Herbals Orange Boost Souffle - Brightening And Radiance,871,Skin Care,Face Care,Face wash/cleanser,IKKAI8_10GM,Ikkai By Lotus Herbals,"The one-and-done pack of Ikkai Orange Boost Souffle face mask will charge you up with nutrients & deliver instant whitening result in the shortest time. Set aside 10 mins of a week to this adorable mask which is all safe, made of organic ingredients and will leave you brighter, glowing & blushed like never before.",10,GM,,,,,3304,18%,IKKAI8_10GM_1.png,,12,10,10,300,85,
Ikkai by Lotus Herbals Papaya Power Scrub - Purefying & Smoothening,872,Skin Care,Face Care,Face Scrub,IKKAI9_10GM,Ikkai By Lotus Herbals,"Effectively and deeply purifies and soothes skin. Works in just 5 mins. Made of Organics and naturally sourced ingredients. Enriched with crushed papaya seeds and papaya enzymes. Breathes in Freshness, Glow & Vitality like neve before.",10,GM,,,,,3304,18%,IKKAI9_10GM_1.png,,12,10,10,300,75,
Ikkai by Lotus Herbals Papaya Preserve Souffle : Replenishing And Brightening,873,Skin Care,Face Care,Face wash/cleanser,IKKAI10_10GM,Ikkai By Lotus Herbals,"Ikkai Papaya Preserve Souffle in an one-and-done pack of wholesome & nutritive Papayas that will heal the skin & let it glow from within. Set aside 10 mins of a week to this adorable mask which is all safe, made of organic ingredients and will make you fairer, blemish-free & glowing like never before",10,GM,,,,,3304,18%,IKKAI10_10GM_1.png,,12,10,10,300,85,
Ikkai by Lotus Herbals Runway Instyle Xclusive Pack,874,Skin Care,Face Care,Kit|Combos|Gift Boxes,IKKAI12_PCK,Ikkai By Lotus Herbals,"This healthy combo pack of 5 super nutritious and fresh products commit to provide brighter, healthier and radiant glow on you. Dig into these super-awesome cute-looking ones – they are all safe, created with organic ingredients to pamper you like no one else.",,,,,,,3304,18%,IKKAI12_PCK_1.png,,12,10,10,300,340,
